num_traces,guessing_entropy,success_rate
319,141.0,0.0
320,140.47,0.0
321,140.82,0.0
322,141.33,0.0
323,141.26,0.0
324,141.09,0.0
325,141.3,0.0
326,141.92,0.0
327,142.16,0.0
328,142.57,0.0
329,142.76,0.0
330,141.86,0.0
331,141.36,0.0
332,141.08,0.0
333,141.59,0.0
334,141.89,0.0
335,142.77,0.0
336,141.81,0.0
337,141.87,0.0
338,141.91,0.0
339,142.28,0.0
340,141.69,0.0
341,142.0,0.0
342,142.47,0.0
343,141.94,0.0
344,142.35,0.0
345,142.27,0.0
346,142.17,0.0
347,142.46,0.0
348,142.78,0.0
349,143.68,0.0
350,143.16,0.0
351,144.15,0.0
352,144.1,0.0
353,143.76,0.0
354,144.45,0.0
355,143.81,0.0
356,143.94,0.0
357,143.65,0.0
358,143.79,0.0
359,144.14,0.0
360,144.48,0.0
361,144.15,0.0
362,143.96,0.0
363,144.67,0.0
364,144.37,0.0
365,144.25,0.0
366,144.22,0.0
367,144.31,0.0
368,144.45,0.0
369,144.21,0.0
370,143.93,0.0
371,144.55,0.0
372,144.53,0.0
373,145.21,0.0
374,145.46,0.0
375,145.01,0.0
376,144.95,0.0
377,145.88,0.0
378,144.94,0.0
379,144.82,0.0
380,145.37,0.0
381,145.43,0.0
382,145.62,0.0
383,146.08,0.0
384,145.97,0.0
385,145.48,0.0
386,145.93,0.0
387,145.65,0.0
388,145.36,0.0
389,145.7,0.0
390,146.02,0.0
391,146.53,0.0
392,145.68,0.0
393,145.96,0.0
394,146.54,0.0
395,147.38,0.0
396,147.02,0.0
397,147.81,0.0
398,147.39,0.0
399,147.17,0.0
400,147.95,0.0
401,147.35,0.0
402,147.71,0.0
403,147.39,0.0
404,147.76,0.0
405,147.27,0.0
406,146.81,0.0
407,146.45,0.0
408,146.11,0.0
409,146.27,0.0
410,146.66,0.0
411,146.74,0.0
412,147.33,0.0
413,147.58,0.0
414,147.08,0.0
415,146.5,0.0
416,146.23,0.0
417,146.33,0.0
418,146.88,0.0
419,146.41,0.0
420,146.16,0.0
421,145.68,0.0
422,146.54,0.0
423,145.77,0.0
424,145.62,0.0
425,145.47,0.0
426,146.03,0.0
427,145.72,0.0
428,146.04,0.0
429,146.5,0.0
430,146.62,0.0
431,145.88,0.0
432,145.03,0.0
433,144.56,0.0
434,144.77,0.0
435,144.61,0.0
436,144.61,0.0
437,144.97,0.0
438,144.82,0.0
439,145.18,0.0
440,145.22,0.0
441,146.21,0.0
442,146.29,0.0
443,145.91,0.0
444,146.13,0.0
445,145.49,0.0
446,145.81,0.0
447,146.04,0.0
448,146.05,0.0
